word1	relation	word2	gloss1	gloss2
reveal%2:39:04::	event	revelation%1:10:01::	"disclose directly or through prophets; ""..."	communication of knowledge to man by a d...
reveal%2:32:00::	event	revelation%1:09:00::	make known to the public information tha...	an enlightening or astonishing disclosur...
reverberate%2:42:00::	event	reverberation%1:19:00::	"have a long or continuing effect; ""The d..."	a remote or indirect consequence of some...
reverberate%2:39:00::	event	reverberation%1:07:00::	"ring or echo with sound; ""the hall resou..."	the repetition of a sound resulting from...
revert%2:30:00::	event	reversion%1:04:02::	"go back to a previous state; ""We reverte..."	returning to a former state
revise%2:41:00::	event	revision%1:04:00::	"revise or reorganize, especially for the..."	the act of revising or altering (involvi...
revise%2:32:00::	event	revision%1:10:01::	"make revisions in; ""revise a thesis"""	the act of rewriting something
revise%2:32:00::	event	revision%1:04:00::	"make revisions in; ""revise a thesis"""	the act of revising or altering (involvi...
revitalise%2:30:00::	event	revitalisation%1:04:00::	give new life or vigor to	bringing again into activity and promine...
revitalize%2:30:00::	event	revitalization%1:04:00::	give new life or vigor to	bringing again into activity and promine...
revivify%2:29:00::	event	revivification%1:04:00::	"give new life or energy to; ""A hot soup ..."	bringing again into activity and promine...
revoke%2:32:00::	event	revocation%1:04:00::	"cancel officially; ""He revoked the ban o..."	the act (by someone having the authority...
revolutionise%2:31:00::	event	revolution%1:11:01::	fill with revolutionary ideas	a drastic and far-reaching change in way...
revolutionise%2:30:00::	event	revolution%1:11:01::	"change radically; ""E-mail revolutionized..."	a drastic and far-reaching change in way...
revolutionize%2:41:00::	event	revolution%1:04:00::	"overthrow by a revolution, of government..."	the overthrow of a government by those w...
revolutionize%2:31:00::	event	revolution%1:11:01::	fill with revolutionary ideas	a drastic and far-reaching change in way...
revolutionize%2:30:00::	event	revolution%1:11:01::	"change radically; ""E-mail revolutionized..."	a drastic and far-reaching change in way...
revolve%2:38:00::	event	revolution%1:11:00::	"turn on or around an axis or a center; ""..."	a single complete turn (axial or orbital...
revolve%2:38:01::	event	revolution%1:11:00::	"move in an orbit; ""The moon orbits aroun..."	a single complete turn (axial or orbital...
rigidify%2:30:00::	event	rigidification%1:22:00::	"become rigid; ""The body rigidified"""	the process of becoming stiff or rigid
romanticise%2:31:00::	event	romanticisation%1:04:00::	"interpret romantically; ""Don't romantici..."	the act of indulging in sentiment
romanticize%2:31:00::	event	romanticization%1:04:00::	"interpret romantically; ""Don't romantici..."	the act of indulging in sentiment
rotate%2:41:00::	event	rotation%1:07:00::	"exchange on a regular basis; ""We rotate ..."	a planned recurrent sequence (of crops o...
rotate%2:38:00::	event	rotation%1:04:00::	"cause to turn on an axis or center; ""Rot..."	"the act of rotating as if on an axis; ""t..."
rotate%2:38:01::	event	rotation%1:04:00::	"turn on or around an axis or a center; ""..."	"the act of rotating as if on an axis; ""t..."
rotate%2:33:00::	event	rotation%1:07:00::	perform a job or duty on a rotating basi...	a planned recurrent sequence (of crops o...
rotate%2:30:04::	event	rotation%1:07:00::	plant or grow in a fixed cyclic order of...	a planned recurrent sequence (of crops o...
ruggedise%2:30:00::	event	ruggedisation%1:04:00::	produce in a version designed to withsta...	the act of making a piece of equipment r...
ruggedize%2:30:00::	event	ruggedization%1:04:00::	produce in a version designed to withsta...	the act of making a piece of equipment r...
ruin%2:35:00::	event	ruination%1:04:00::	destroy completely; damage irreparably; ...	destruction achieved by causing somethin...
ruminate%2:34:00::	event	rumination%1:04:01::	"chew the cuds; ""cows ruminate"""	"(of ruminants) chewing (the cud); ""rumin..."
ruminate%2:31:00::	event	rumination%1:09:00::	"reflect deeply on a subject; ""I mulled o..."	"a calm, lengthy, intent consideration"
rusticate%2:42:00::	event	rustication%1:04:00::	live in the country and lead a rustic li...	the action of retiring to and living in ...
rusticate%2:41:00::	event	rustication%1:04:01::	"send to the country; ""He was rusticated ..."	banishment into the country
rusticate%2:41:01::	event	rustication%1:04:03::	suspend temporarily from college or univ...	temporary dismissal of a student from a ...
rusticate%2:35:00::	event	rustication%1:04:02::	give (stone) a rustic look	the construction of masonry or brickwork...
rusticate%2:30:00::	event	rustication%1:04:02::	"lend a rustic character to; ""rusticate t..."	the construction of masonry or brickwork...
salivate%2:29:00::	event	salivation%1:22:00::	"produce saliva; ""We salivated when he de..."	the secretion of saliva
saltate%2:38:01::	event	saltation%1:22:00::	"move by saltation; ""The sand grains are ..."	(geology) the leaping movement of sand o...
saltate%2:38:00::	event	saltation%1:04:01::	"leap or skip, often in dancing; ""These f..."	taking a series of rhythmical steps (and...
saltate%2:38:00::	event	saltation%1:04:00::	"leap or skip, often in dancing; ""These f..."	"a light, self-propelled movement upwards..."
salute%2:34:00::	event	salutation%1:10:01::	"propose a toast to; ""Let us toast the bi..."	an act of honor or courteous recognition...
salute%2:32:02::	event	salutation%1:10:01::	"honor with a military ceremony, as when ..."	an act of honor or courteous recognition...
salve%2:41:00::	event	salvation%1:04:02::	"save from ruin, destruction, or harm"	saving someone or something from harm or...
sanctify%2:32:00::	event	sanctification%1:04:00::	render holy by means of religious rites	a religious ceremony in which something ...
sanctify%2:30:00::	event	sanctification%1:04:00::	"make pure or free from sin or guilt; ""he..."	a religious ceremony in which something ...
sanction%2:41:01::	event	sanction%1:04:01::	give authority or permission to	"the act of final authorization; ""it had ..."
sanitise%2:35:00::	event	sanitisation%1:04:00::	make sanitary by cleaning or sterilizing...	making something sanitary (free of germs...
sanitize%2:35:00::	event	sanitization%1:04:00::	make sanitary by cleaning or sterilizing...	making something sanitary (free of germs...
saponify%2:30:01::	event	saponification%1:22:00::	become converted into soap by being hydr...	a chemical reaction in which an ester is...
saponify%2:30:00::	event	saponification%1:22:00::	convert into soap by hydrolizing an este...	a chemical reaction in which an ester is...
satiate%2:34:00::	event	satiation%1:04:00::	"fill to satisfaction; ""I am sated"""	the act of achieving full gratification
satisfy%2:42:00::	event	satisfaction%1:04:00::	meet the requirements or expectations of...	act of fulfilling a desire or need or ap...
satisfy%2:34:01::	event	satisfaction%1:04:00::	fill or meet a want or need	act of fulfilling a desire or need or ap...
saturate%2:30:01::	event	saturation%1:04:00::	"cause (a chemical compound, vapour, solu..."	the act of soaking thoroughly with a liq...
scandalise%2:37:00::	event	scandalisation%1:04:00::	"strike with disgust or revulsion; ""The s..."	the act of scandalizing
scandalize%2:37:00::	event	scandalization%1:04:00::	"strike with disgust or revulsion; ""The s..."	the act of scandalizing
schematise%2:30:01::	event	schematisation%1:04:01::	"give conventional form to; ""some art for..."	the act of reducing to a scheme or formu...
schematize%2:30:01::	event	schematization%1:04:01::	"give conventional form to; ""some art for..."	the act of reducing to a scheme or formu...
scintillate%2:43:01::	event	scintillation%1:11:00::	"give off; ""the substance scintillated sp..."	a rapid change in brightness; a brief sp...
scintillate%2:43:00::	event	scintillation%1:07:01::	emit or reflect light in a flickering ma...	the twinkling of the stars caused when c...
scintillate%2:39:00::	event	scintillation%1:19:00::	physics: fluoresce momentarily when stru...	(physics) a flash of light that is produ...
scintillate%2:30:00::	event	scintillation%1:09:00::	be lively or brilliant or exhibit virtuo...	a brilliant display of wit
secede%2:41:00::	event	secession%1:04:00::	withdraw from an organization or communi...	formal separation from an alliance or fe...
seclude%2:30:00::	event	seclusion%1:04:00::	"keep away from others; ""He sequestered h..."	the act of secluding yourself from other...
secrete%2:29:00::	event	secretion%1:22:00::	generate and separate from cells or bodi...	the organic process of synthesizing and ...
sectionalise%2:41:00::	event	sectionalisation%1:04:00::	"divide into sections, especially into ge..."	the act of dividing or partitioning; sep...
sectionalize%2:41:00::	event	sectionalization%1:04:00::	"divide into sections, especially into ge..."	the act of dividing or partitioning; sep...
secularise%2:30:00::	event	secularisation%1:04:01::	make secular and draw away from a religi...	the activity of changing something (art ...
secularize%2:40:00::	event	secularization%1:04:00::	transfer from ecclesiastical to civil po...	transfer of property from ecclesiastical...
secularize%2:30:00::	event	secularization%1:04:01::	make secular and draw away from a religi...	the activity of changing something (art ...
sedate%2:29:00::	event	sedation%1:04:00::	cause to be calm or quiet as by administ...	the administration of a sedative agent o...
sediment%2:38:01::	event	sedimentation%1:19:00::	deposit as a sediment	the phenomenon of sediment or gravel acc...
seduce%2:35:00::	event	seduction%1:04:01::	"induce to have sex; ""Harry finally seduc..."	an act of winning the love or sexual fav...
seduce%2:32:00::	event	seduction%1:04:00::	"lure or entice away from duty, principle..."	enticing someone astray from right behav...
segment%2:35:00::	event	segmentation%1:04:00::	"divide into segments; ""segment an orange..."	the act of dividing or partitioning; sep...
segregate%2:35:02::	event	segregation%1:04:00::	divide from the main body or mass and co...	the act of segregating or sequestering; ...
segregate%2:30:00::	event	segregation%1:04:00::	separate or isolate (one thing) from ano...	the act of segregating or sequestering; ...
select%2:31:00::	event	selection%1:04:00::	"pick out, select, or choose from a numbe..."	"the act of choosing or selecting; ""your ..."
self-destroy%2:36:00::	event	self-destruction%1:04:01::	"do away with oneself or itself; ""The mac..."	"the act of destroying yourself; ""his ins..."
self-destroy%2:36:00::	event	self-destruction%1:04:00::	"do away with oneself or itself; ""The mac..."	"the act of killing yourself; ""it is a cr..."
self-destruct%2:36:00::	event	self-destruction%1:04:01::	"do away with oneself or itself; ""The mac..."	"the act of destroying yourself; ""his ins..."
self-destruct%2:36:00::	event	self-destruction%1:04:00::	"do away with oneself or itself; ""The mac..."	"the act of killing yourself; ""it is a cr..."
sense%2:39:00::	event	sensation%1:09:00::	"perceive by a physical sensation, e.g., ..."	an unelaborated elementary awareness of ...
sensitise%2:30:02::	event	sensitisation%1:04:00::	"make sensitive to a drug or allergen; ""L..."	rendering an organism sensitive to a ser...
sensitize%2:30:02::	event	sensitization%1:04:00::	"make sensitive to a drug or allergen; ""L..."	rendering an organism sensitive to a ser...
sensitize%2:30:00::	event	sensitization%1:22:00::	"make sensitive or aware; ""He was not sen..."	(psychology) the process of becoming hig...
sentimentalise%2:30:00::	event	sentimentalisation%1:04:00::	look at with sentimentality or turn into...	the act of indulging in sentiment
sentimentalise%2:29:00::	event	sentimentalisation%1:04:00::	act in a sentimental way or indulge in s...	the act of indulging in sentiment
sentimentalize%2:29:00::	event	sentimentalization%1:04:00::	act in a sentimental way or indulge in s...	the act of indulging in sentiment
separate%2:41:02::	event	separation%1:04:02::	discontinue an association or relation; ...	(law) the cessation of cohabitation of m...
separate%2:38:00::	event	separation%1:04:00::	"go one's own way; move apart; ""The frien..."	the social act of separating or parting ...
separate%2:35:00::	event	separation%1:11:00::	"come apart; ""The two pieces that we had ..."	coming apart
separate%2:35:01::	event	separation%1:04:01::	"force, take, or pull apart; ""He separate..."	the act of dividing or disconnecting
separate%2:35:02::	event	separation%1:04:03::	divide into components or constituents; ...	"sorting one thing from others; ""the sepa..."
sequester%2:40:00::	event	sequestration%1:04:01::	take temporary possession of as a securi...	seizing property that belongs to someone...
sequester%2:30:06::	event	sequestration%1:22:00::	undergo sequestration by forming a stabl...	the action of forming a chelate or other...
sequester%2:30:00::	event	sequestration%1:04:00::	"keep away from others; ""He sequestered h..."	the act of segregating or sequestering; ...
serialise%2:30:00::	event	serialisation%1:04:00::	"arrange serially; ""Serialize the numbers..."	publication in serial form
serialize%2:30:00::	event	serialization%1:04:00::	"arrange serially; ""Serialize the numbers..."	publication in serial form
sibilate%2:32:03::	event	sibilation%1:10:00::	pronounce with an initial sibilant	pronunciation with a sibilant (hissing o...
sibilate%2:32:02::	event	sibilation%1:10:00::	utter a sibilant	pronunciation with a sibilant (hissing o...
sibilate%2:32:01::	event	sibilation%1:10:00::	express or utter with a hiss	pronunciation with a sibilant (hissing o...
sibilate%2:32:00::	event	sibilation%1:11:00::	"make a sharp hissing sound, as if to sho..."	a fricative sound (especially as an expr...
signalise%2:32:00::	event	signalisation%1:10:00::	make conspicuous or noteworthy	a conspicuous indication
signalize%2:32:00::	event	signalization%1:10:00::	make conspicuous or noteworthy	a conspicuous indication
simplify%2:30:00::	event	simplification%1:04:02::	make simpler or easier or reduce in comp...	the act of reducing complexity
simplify%2:30:00::	event	simplification%1:04:00::	make simpler or easier or reduce in comp...	elimination of superfluous details
simulate%2:36:02::	event	simulation%1:09:00::	"create a representation or model of; ""Th..."	(computer science) the technique of repr...
simulate%2:36:00::	event	simulation%1:04:00::	"make a pretence of; ""She assumed indiffe..."	"the act of giving a false appearance; ""h..."
socialise%2:41:01::	event	socialisation%1:04:01::	take part in social activities; interact...	the act of meeting for social purposes; ...
socialise%2:41:00::	event	socialisation%1:04:00::	"train for a social environment; ""The chi..."	the adoption of the behavior patterns of...
socialise%2:30:01::	event	socialisation%1:04:00::	"prepare for social life; ""Children have ..."	the adoption of the behavior patterns of...
socialise%2:30:00::	event	socialisation%1:04:02::	make conform to socialist ideas and phil...	the action of establishing on a socialis...
socialize%2:41:01::	event	socialization%1:04:01::	take part in social activities; interact...	the act of meeting for social purposes; ...
socialize%2:41:00::	event	socialization%1:04:00::	"train for a social environment; ""The chi..."	the adoption of the behavior patterns of...
socialize%2:30:01::	event	socialization%1:04:00::	"prepare for social life; ""Children have ..."	the adoption of the behavior patterns of...
socialize%2:30:00::	event	socialization%1:04:02::	make conform to socialist ideas and phil...	the action of establishing on a socialis...
solarise%2:39:00::	event	solarisation%1:07:00::	expose to the rays of the sun or affect ...	exposure to the rays of the sun
solarize%2:39:00::	event	solarization%1:07:00::	expose to the rays of the sun or affect ...	exposure to the rays of the sun
solemnise%2:41:00::	event	solemnisation%1:04:00::	observe or perform with dignity or gravi...	the public performance of a sacrament or...
solemnise%2:41:01::	event	solemnisation%1:04:00::	perform (the wedding ceremony) with prop...	the public performance of a sacrament or...
solemnize%2:41:00::	event	solemnization%1:04:00::	observe or perform with dignity or gravi...	the public performance of a sacrament or...
solemnize%2:41:01::	event	solemnization%1:04:00::	perform (the wedding ceremony) with prop...	the public performance of a sacrament or...
solicit%2:32:00::	event	solicitation%1:10:00::	make a solicitation or entreaty for some...	an entreaty addressed to someone of supe...
solicit%2:32:01::	event	solicitation%1:04:01::	approach with an offer of sexual favors;...	the act of enticing a person to do somet...
solidify%2:30:01::	event	solidification%1:22:00::	make solid or more solid; cause to solid...	the process of becoming hard or solid by...
solidify%2:30:00::	event	solidification%1:22:00::	"become solid; ""The metal solidified when..."	the process of becoming hard or solid by...
solmizate%2:36:01::	event	solmization%1:10:00::	"sing by the syllables of solmization; ""s..."	a system of naming the notes of a musica...
solmizate%2:36:01::	event	solmization%1:04:00::	"sing by the syllables of solmization; ""s..."	singing using solfa syllables to denote ...
solmizate%2:36:00::	event	solmization%1:10:00::	"sing using syllables like `do', `re' and..."	a system of naming the notes of a musica...
solmizate%2:36:00::	event	solmization%1:04:00::	"sing using syllables like `do', `re' and..."	singing using solfa syllables to denote ...
solvate%2:30:01::	event	solvation%1:22:00::	cause a solvation in (a substance)	a chemical process in which solvent mole...
solvate%2:30:00::	event	solvation%1:22:00::	undergo solvation or convert into a solv...	a chemical process in which solvent mole...
solve%2:31:00::	event	solution%1:04:00::	find the solution to (a problem or quest...	the successful action of solving a probl...
somnambulate%2:38:00::	event	somnambulation%1:04:00::	walk in one's sleep	walking by a person who is asleep
sophisticate%2:32:00::	event	sophistication%1:09:02::	practice sophistry; change the meaning o...	a deliberately invalid argument displayi...
sophisticate%2:32:00::	event	sophistication%1:04:00::	practice sophistry; change the meaning o...	falsification by the use of sophistry; m...
sophisticate%2:30:00::	event	sophistication%1:09:01::	"make more complex or refined; ""a sophist..."	being expert or having knowledge of some...
sorb%2:35:00::	event	sorption%1:22:00::	take up a liquid or a gas either by adso...	the process in which one substance takes...
specialise%2:41:00::	event	specialisation%1:04:00::	devote oneself to a special area of work...	the special line of work you have adopte...
specialise%2:30:01::	event	specialisation%1:04:01::	"suit to a special purpose; ""specialize o..."	the act of specializing; making somethin...
specialize%2:41:00::	event	specialization%1:04:00::	devote oneself to a special area of work...	the special line of work you have adopte...
specialise%2:30:07::	event	specialisation%1:22:00::	evolve so as to lead to a new species or...	(biology) the structural adaptation of s...
specialize%2:30:01::	event	specialization%1:04:01::	"suit to a special purpose; ""specialize o..."	the act of specializing; making somethin...
specialize%2:30:07::	event	specialization%1:22:00::	evolve so as to lead to a new species or...	(biology) the structural adaptation of s...
speciate%2:30:00::	event	speciation%1:22:00::	evolve so as to lead to a new species or...	the evolution of a biological species
specify%2:31:05::	event	specification%1:10:01::	select something or someone for a specif...	naming explicitly
speculate%2:40:00::	event	speculation%1:21:00::	"invest at a risk; ""I bought this house n..."	an investment that is very risky but cou...
speculate%2:32:00::	event	speculation%1:10:03::	"talk over conjecturally, or review in an..."	a message expressing an opinion based on...
speculate%2:31:01::	event	speculation%1:09:00::	to believe especially on uncertain or te...	a hypothesis that has been formed by spe...
speculate%2:31:00::	event	speculation%1:09:01::	"reflect deeply on a subject; ""I mulled o..."	continuous and profound contemplation or...
spiritualise%2:31:00::	event	spiritualisation%1:04:00::	give a spiritual meaning to; read in a s...	the act of making something spiritual; i...
spiritualise%2:30:00::	event	spiritualisation%1:04:00::	purify from the corrupting influences of...	the act of making something spiritual; i...
spiritualize%2:31:00::	event	spiritualization%1:04:00::	give a spiritual meaning to; read in a s...	the act of making something spiritual; i...
spiritualize%2:30:00::	event	spiritualization%1:04:00::	purify from the corrupting influences of...	the act of making something spiritual; i...
spoil%2:35:00::	event	spoliation%1:04:00::	"destroy and strip of its possession; ""Th..."	the act of stripping and taking by force...
spoil%2:35:00::	event	spoilation%1:04:00::	"destroy and strip of its possession; ""Th..."	the act of stripping and taking by force...
spoil%2:30:01::	event	spoliation%1:04:01::	alter from the original	(law) the intentional destruction of a d...
sporulate%2:36:00::	event	sporulation%1:22:00::	"produce spores; ""plants sporulate"""	asexual reproduction by the production a...
stabilise%2:30:00::	event	stabilisation%1:04:00::	"become stable or more stable; ""The econo..."	the act of stabilizing something or maki...
stabilise%2:30:01::	event	stabilisation%1:04:00::	make stable and keep from fluctuating or...	the act of stabilizing something or maki...
stabilize%2:35:02::	event	stabilization%1:04:01::	support or hold steady and make steadfas...	the act of making something (as a vessel...
stabilize%2:30:01::	event	stabilization%1:04:00::	make stable and keep from fluctuating or...	the act of stabilizing something or maki...
stagnate%2:42:02::	event	stagnation%1:26:01::	"cause to stagnate; ""There are marshes th..."	inactivity of liquids; being stagnant; s...
stagnate%2:42:00::	event	stagnation%1:26:01::	"cease to flow; stand without moving; ""St..."	inactivity of liquids; being stagnant; s...
stalinise%2:30:00::	event	stalinisation%1:22:00::	transform in accordance with Stalin's po...	social process of adopting (or being for...
stalinize%2:30:00::	event	stalinization%1:22:00::	transform in accordance with Stalin's po...	social process of adopting (or being for...
standardise%2:31:00::	event	standardisation%1:04:00::	evaluate by comparing with a standard	the act of checking or adjusting (by com...
standardise%2:30:00::	event	standardisation%1:04:01::	"cause to conform to standard or norm; ""T..."	the imposition of standards or regulatio...
standardize%2:31:00::	event	standardization%1:04:01::	evaluate by comparing with a standard	the imposition of standards or regulatio...
standardize%2:30:00::	event	standardization%1:04:00::	"cause to conform to standard or norm; ""T..."	the act of checking or adjusting (by com...
starve%2:34:03::	event	starvation%1:04:00::	"deprive of food; ""They starved the priso..."	the act of depriving of food or subjecti...
sterilise%2:29:01::	event	sterilisation%1:04:01::	make free from bacteria	the procedure of making some object free...
sterilise%2:29:00::	event	sterilisation%1:04:00::	"make infertile; ""in some countries, peop..."	the act of making an organism barren or ...
sterilize%2:29:01::	event	sterilization%1:04:01::	make free from bacteria	the procedure of making some object free...
sterilize%2:29:00::	event	sterilization%1:04:00::	"make infertile; ""in some countries, peop..."	the act of making an organism barren or ...
stigmatise%2:41:00::	event	stigmatisation%1:04:00::	to accuse or condemn or openly or formal...	the act of stigmatizing
stigmatise%2:30:00::	event	stigmatisation%1:04:00::	"mark with a stigma or stigmata; ""They wa..."	the act of stigmatizing
stigmatize%2:41:00::	event	stigmatization%1:04:00::	to accuse or condemn or openly or formal...	the act of stigmatizing
stigmatize%2:30:00::	event	stigmatization%1:04:00::	"mark with a stigma or stigmata; ""They wa..."	the act of stigmatizing
stimulate%2:32:01::	event	stimulation%1:09:00::	cause to do; cause to act in a specified...	any stimulating information or event; ac...
stimulate%2:32:01::	event	stimulation%1:04:00::	cause to do; cause to act in a specified...	the act of arousing an organism to actio...
stipulate%2:32:00::	event	stipulation%1:04:00::	specify as a condition or requirement in...	a restriction that is insisted upon as a...
strangle%2:35:00::	event	strangulation%1:04:01::	kill by squeezing the throat of so as to...	the act of suffocating (someone) by cons...
strangulate%2:35:00::	event	strangulation%1:04:01::	kill by squeezing the throat of so as to...	the act of suffocating (someone) by cons...
strangulate%2:35:01::	event	strangulation%1:04:02::	constrict a hollow organ or vessel so as...	(pathology) constriction of a body part ...
stratify%2:41:01::	event	stratification%1:04:00::	"develop different social levels, classes..."	the act or process or arranging persons ...
stratify%2:35:00::	event	stratification%1:22:00::	"form, arrange, or deposit in layers; ""Th..."	forming or depositing in layers
stratify%2:30:00::	event	stratification%1:22:00::	"form layers or strata; ""The rock stratif..."	forming or depositing in layers
stratify%2:29:00::	event	stratification%1:04:01::	render fertile and preserve by placing b...	the placing of seeds in damp sand or saw...
stridulate%2:39:00::	event	stridulation%1:11:00::	make a shrill creaking noise by rubbing ...	a shrill grating or chirping noise made ...
stultify%2:37:00::	event	stultification%1:10:00::	prove to be of unsound mind or demonstra...	derision of someone or something as fool...
stultify%2:32:00::	event	stultification%1:10:00::	"cause to appear foolish; ""He stultified ..."	derision of someone or something as fool...
stupefy%2:39:00::	event	stupefaction%1:04:00::	make dull or stupid or muddle with drunk...	the action of stupefying; making dull or...
stupefy%2:30:00::	event	stupefaction%1:04:00::	make senseless or dizzy by or as if by a...	the action of stupefying; making dull or...
stylise%2:36:00::	event	stylisation%1:04:00::	represent according to a conventional st...	the act of stylizing; causing to conform...
stylize%2:36:00::	event	stylization%1:04:00::	represent according to a conventional st...	the act of stylizing; causing to conform...
subdivide%2:30:01::	event	subdivision%1:04:00::	"form into subdivisions; ""The cells subdi..."	the act of subdividing; division of some...
subdivide%2:30:00::	event	subdivision%1:04:00::	divide into smaller and smaller pieces; ...	the act of subdividing; division of some...
subject%2:41:00::	event	subjection%1:26:00::	make subservient; force to submit or sub...	forced submission to control by others
subject%2:41:00::	event	subjection%1:04:00::	make subservient; force to submit or sub...	the act of conquering
subjoin%2:35:00::	event	subjunction%1:04:00::	add to the end	the act of supplementing
subjugate%2:41:00::	event	subjugation%1:26:00::	make subservient; force to submit or sub...	forced submission to control by others
sublimate%2:38:00::	event	sublimation%1:11:01::	direct energy or urges into useful activ...	(psychology) modifying the natural expre...
sublimate%2:30:05::	event	sublimation%1:11:02::	change or cause to change directly from ...	(chemistry) a change directly from the s...
subluxate%2:29:00::	event	subluxation%1:11:00::	"sprain or dislocate slightly; ""subluxate..."	partial displacement of a joint or organ...
submerge%2:38:00::	event	submersion%1:11:00::	sink below the surface; go under or as i...	sinking until covered completely with wa...
submerge%2:35:01::	event	submersion%1:04:00::	"put under water; ""submerge your head com..."	the act of wetting something by submergi...
submerse%2:38:00::	event	submersion%1:11:00::	sink below the surface; go under or as i...	sinking until covered completely with wa...
submerse%2:35:00::	event	submersion%1:04:00::	"put under water; ""submerge your head com..."	the act of wetting something by submergi...
submerse%2:35:00::	event	submersion%1:11:00::	"put under water; ""submerge your head com..."	sinking until covered completely with wa...
submit%2:33:00::	event	submission%1:04:01::	yield to the control of another	the act of submitting; usually surrender...
submit%2:32:02::	event	submission%1:04:01::	"yield to another's wish or opinion; ""The..."	the act of submitting; usually surrender...
submit%2:32:00::	event	submission%1:10:03::	"put before; ""I submit to you that the ac..."	(law) a contention presented by a lawyer...
submit%2:31:12::	event	submission%1:04:01::	"accept or undergo, often unwillingly; ""W..."	the act of submitting; usually surrender...
subordinate%2:30:03::	event	subordination%1:04:00::	"make subordinate, dependent, or subservi..."	the act of mastering or subordinating so...
suborn%2:41:00::	event	subornation%1:10:00::	incite to commit a crime or an evil deed...	underhandedly or improperly inducing som...
suborn%2:32:01::	event	subornation%1:10:01::	procure (false testimony or perjury)	perjured testimony that someone was pers...
suborn%2:32:00::	event	subornation%1:10:01::	induce to commit perjury or give false t...	perjured testimony that someone was pers...
subrogate%2:40:00::	event	subrogation%1:04:00::	"substitute one creditor for another, as ..."	(law) the act of substituting of one cre...
subscribe%2:40:04::	event	subscription%1:04:00::	pay (an amount of money) as a contributi...	a pledged contribution
subscribe%2:32:02::	event	subscription%1:04:01::	mark with one's signature; write one's n...	the act of signing your name; writing yo...
subsidise%2:40:01::	event	subsidisation%1:04:00::	secure the assistance of by granting a s...	the act of providing a subsidy
subsidise%2:40:00::	event	subsidisation%1:04:00::	"support through subsidies; ""The arts in ..."	the act of providing a subsidy
subsidize%2:40:01::	event	subsidization%1:04:00::	secure the assistance of by granting a s...	the act of providing a subsidy
subsidize%2:40:00::	event	subsidization%1:04:00::	"support through subsidies; ""The arts in ..."	the act of providing a subsidy
substantiate%2:31:00::	event	substantiation%1:09:00::	establish or strengthen as with new evid...	additional proof that something that was...
substantiate%2:31:00::	event	substantiation%1:04:00::	establish or strengthen as with new evid...	the act of validating; finding or testin...
substitute%2:40:01::	event	substitution%1:11:00::	"be a substitute; ""The young teacher had ..."	an event in which one thing is substitut...
substitute%2:40:00::	event	substitution%1:11:00::	put in the place of another; switch seem...	an event in which one thing is substitut...
substitute%2:40:00::	event	substitution%1:04:00::	put in the place of another; switch seem...	the act of putting one thing or person i...
subsume%2:42:00::	event	subsumption%1:09:00::	"contain or include; ""This new system sub..."	incorporating something under a more gen...
subsume%2:31:01::	event	subsumption%1:09:00::	consider (an instance of something) as p...	incorporating something under a more gen...
subtract%2:31:00::	event	subtraction%1:04:01::	"make a subtraction; ""subtract this amoun..."	an arithmetic operation in which the dif...
subtract%2:31:00::	event	subtraction%1:04:00::	"make a subtraction; ""subtract this amoun..."	the act of subtracting (removing a part ...
subvent%2:32:00::	event	subvention%1:21:00::	"guarantee financial support of; ""The ope..."	grant of financial aid as from a governm...
subvent%2:32:00::	event	subvention%1:04:00::	"guarantee financial support of; ""The ope..."	the act or process of providing aid or h...
subvert%2:41:03::	event	subversion%1:04:00::	corrupt morally or by intemperance or se...	destroying someone's (or some group's) h...
subvert%2:41:00::	event	subversion%1:04:01::	"cause the downfall of; of rulers; ""The C..."	the act of subverting; as overthrowing o...
subvert%2:35:00::	event	subversion%1:04:01::	"destroy completely; ""we must not let our..."	the act of subverting; as overthrowing o...
succeed%2:41:01::	event	succession%1:07:00::	"be the successor (of); ""Carter followed ..."	a following of one thing after another i...
succeed%2:41:01::	event	succession%1:04:00::	"be the successor (of); ""Carter followed ..."	"the action of following in order; ""he pl..."
succuss%2:38:00::	event	succussion%1:04:00::	shake; especially (a patient to detect f...	shaking a person to determine whether a ...
suck%2:43:00::	event	suction%1:04:00::	"attract by using an inexorable force, in..."	the act of sucking
suck%2:38:00::	event	suction%1:04:00::	draw something in by or as if by a vacuu...	the act of sucking
suck%2:34:04::	event	suction%1:04:00::	draw into the mouth by creating a practi...	the act of sucking
suction%2:38:00::	event	suction%1:04:00::	remove or draw away by the force of suct...	the act of sucking
suction%2:38:00::	event	suction%1:19:00::	remove or draw away by the force of suct...	a force over an area produced by a press...
suction%2:29:00::	event	suction%1:04:00::	empty or clean (a body cavity) by the fo...	the act of sucking
suction%2:29:00::	event	suction%1:19:00::	empty or clean (a body cavity) by the fo...	a force over an area produced by a press...
sudate%2:29:00::	event	sudation%1:22:00::	excrete perspiration through the pores i...	the process of the sweat glands of the s...
suffix%2:35:00::	event	suffixation%1:04:00::	"attach a suffix to; ""suffix words"""	formation of a word by means of a suffix...
suffocate%2:35:00::	event	suffocation%1:04:00::	deprive of oxygen and prevent from breat...	killing by depriving of oxygen
suffocate%2:30:02::	event	suffocation%1:04:00::	be asphyxiated; die from lack of oxygen;...	killing by depriving of oxygen
